observation_date,NICUR
2003-01-01,9594.327
2003-04-01,9724.589
2003-07-01,9894.192
2003-10-01,10067.059
2004-01-01,10240.028
2004-04-01,10417.678
2004-07-01,10622.543
2004-10-01,10720.437
2005-01-01,10925.533
2005-04-01,11090.135
2005-07-01,11273.926
2005-10-01,11510.186
2006-01-01,11781.257
2006-04-01,11915.443
2006-07-01,12020.387
2006-10-01,12073.594
2007-01-01,12170.250
2007-04-01,12331.638
2007-07-01,12317.160
2007-10-01,12400.330
2008-01-01,12405.094
2008-04-01,12428.207
2008-07-01,12511.695
2008-10-01,12114.661
2009-01-01,11895.792
2009-04-01,11942.064
2009-07-01,12087.085
2009-10-01,12336.310
2010-01-01,12482.241
2010-04-01,12689.828
2010-07-01,12942.506
2010-10-01,13064.503
2011-01-01,13144.602
2011-04-01,13331.967
2011-07-01,13458.525
2011-10-01,13615.266
2012-01-01,13982.742
2012-04-01,14043.866
2012-07-01,13968.354
2012-10-01,14264.053
2013-01-01,14294.155
2013-04-01,14413.433
2013-07-01,14492.630
2013-10-01,14636.204
2014-01-01,14776.092
2014-04-01,15079.344
2014-07-01,15342.881
2014-10-01,15459.888
2015-01-01,15544.478
2015-04-01,15680.190
2015-07-01,15737.131
2015-10-01,15778.998
2016-01-01,15845.271
2016-04-01,15851.242
2016-07-01,16000.452
2016-10-01,16204.072
2017-01-01,16419.879
2017-04-01,16541.117
2017-07-01,16739.623
2017-10-01,17052.168
2018-01-01,17270.306
2018-04-01,17478.480
2018-07-01,17694.642
2018-10-01,17839.695
2019-01-01,18085.256
2019-04-01,18199.520
2019-07-01,18337.641
2019-10-01,18526.870
2020-01-01,18461.290
2020-04-01,16367.603
2020-07-01,17835.272
2020-10-01,18674.110
2021-01-01,19139.313
2021-04-01,19655.635
2021-07-01,20168.646
2021-10-01,20879.863
2022-01-01,21317.908
2022-04-01,21794.947
2022-07-01,22251.964
2022-10-01,22308.700
2023-01-01,22553.991
2023-04-01,22775.091
2023-07-01,23115.374
2023-10-01,23509.089
2024-01-01,23867.319
2024-04-01,24100.763
2024-07-01,24214.618
2024-10-01,24705.888
